file1,file2,import_similarity,method_similarity,label
awaitility/src/test/java/org/awaitility/UsingAtomicTest.java,pom.xml,0.0,0.0,1
changelog.txt,pom.xml,0.0,0.0,1
awaitility/src/main/java/org/awaitility/core/Uninterruptibles.java,changelog.txt,0.0,0.0,1
awaitility/src/main/java/org/awaitility/Awaitility.java,awaitility/src/main/java/org/awaitility/core/ConditionAwaiter.java,0.1875,0.041666666666666664,1
awaitility/src/main/java/org/awaitility/Awaitility.java,awaitility/src/main/java/org/awaitility/core/ConditionFactory.java,0.6363636363636364,0.20512820512820512,1
awaitility/src/main/java/org/awaitility/Awaitility.java,awaitility/src/main/java/org/awaitility/core/ConditionSettings.java,0.25,0.0,1
awaitility/src/main/java/org/awaitility/Awaitility.java,awaitility/src/main/java/org/awaitility/core/FailFastCondition.java,0.0625,0.0,1
awaitility/src/main/java/org/awaitility/Awaitility.java,awaitility/src/main/java/org/awaitility/core/TerminalFailureException.java,0.0,0.0,1
awaitility/src/main/java/org/awaitility/Awaitility.java,awaitility/src/test/java/org/awaitility/FailFastTest.java,0.1875,0.0,1
awaitility/src/main/java/org/awaitility/core/ConditionAwaiter.java,awaitility/src/main/java/org/awaitility/core/ConditionFactory.java,0.18181818181818182,0.02564102564102564,1
awaitility/src/main/java/org/awaitility/core/ConditionAwaiter.java,awaitility/src/main/java/org/awaitility/core/ConditionSettings.java,0.07142857142857142,0.0,1
awaitility/src/main/java/org/awaitility/core/ConditionAwaiter.java,awaitility/src/main/java/org/awaitility/core/FailFastCondition.java,0.0,0.0,1
awaitility/src/main/java/org/awaitility/core/ConditionAwaiter.java,awaitility/src/main/java/org/awaitility/core/TerminalFailureException.java,0.0,0.0,1
awaitility/src/main/java/org/awaitility/core/ConditionAwaiter.java,awaitility/src/test/java/org/awaitility/FailFastTest.java,0.07142857142857142,0.0,1
awaitility/src/main/java/org/awaitility/core/ConditionFactory.java,awaitility/src/main/java/org/awaitility/core/ConditionSettings.java,0.18181818181818182,0.0,1
awaitility/src/main/java/org/awaitility/core/ConditionFactory.java,awaitility/src/main/java/org/awaitility/core/FailFastCondition.java,0.045454545454545456,0.0,1
awaitility/src/main/java/org/awaitility/core/ConditionFactory.java,awaitility/src/main/java/org/awaitility/core/TerminalFailureException.java,0.0,0.0,1
